T,SoC,C1,C2,C3
10,1,6248.79673023392,30934.9857740101,213143.188203494
10,0.99,6248.79673023392,30934.9857740101,213143.188203494
10,0.98,6593.82272872299,30505.1286962445,164790.071359612
10,0.97,8792.61094787996,33485.8725471939,185555.543285313
10,0.96,8806.41677989922,33143.4629727945,211073.085509331
10,0.95,8869.46348327253,35719.1012152538,213214.837975269
10,0.94,8088.51611430335,30588.6936785013,365384.168025844
10,0.93,7758.25128461037,30085.8321292351,255674.810126771
10,0.92,8130.34773034394,32466.4693772903,231739.311854151
10,0.91,7599.31507271589,31846.5585425236,366319.889975023
10,0.86,10118.9393886174,48316.5332792833,420645.193450911
10,0.809999999999999,21704.3311463774,56865.8531553433,247844.840561519
10,0.76,21075.9189864369,126374.026149367,428787.381714322
10,0.71,19343.5466985684,156970.999651529,589823.895923881
10,0.66,19258.2876844271,231313.887963822,685420.147240271
10,0.61,18886.2126288637,216347.175503331,725738.351447668
10,0.56,20355.1474631853,153275.942906302,591958.145936062
10,0.51,21941.5439300563,66369.4341157045,405272.784825443
10,0.46,20664.1917945533,48795.5617454399,200127.144925793
10,0.41,20126.8733161043,52994.1098264212,224642.377486932
10,0.36,20054.032653107,61094.8653978319,270296.207682217
10,0.31,20962.2509674985,64226.3524446286,395593.451362736
10,0.26,10828.4441263764,51179.9982226368,525504.837627972
10,0.209999999999999,7045.59380874436,45841.01670266,459937.452099919
10,0.16,6229.36699751579,73646.8390976125,706520.588824435
10,0.15,4613.92957818491,30492.6483158724,390735.124844049
10,0.139999999999999,4255.6737472218,28315.6559372394,332530.192195313
10,0.13,4159.51681603135,24365.5053463452,240601.172284626
10,0.12,4303.05554695111,21254.7736392549,238131.585243093
10,0.109999999999999,4260.50017331222,21814.4788597488,301119.511883599
10,0.0999999999999999,4346.36279491806,31954.5804334101,390672.35046039
10,0.09,4244.19476969343,32191.5578449699,297499.113850742
10,0.0799999999999999,4308.69766892319,32974.1328636238,284835.433955966
10,0.0699999999999999,3909.26891009816,30074.2888480953,246703.383032313
10,0.06,3548.35912466814,25861.8167399714,233586.436487368
10,0.0499999999999999,2947.28307478869,19902.9840746415,192171.545232576
10,0.0399999999999999,2947.28307478869,19902.9840746415,192171.545232576
10,0.03,2947.28307478869,19902.9840746415,192171.545232576
10,0.0199999999999999,2947.28307478869,19902.9840746415,192171.545232576
10,0.00999999999999998,2947.28307478869,19902.9840746415,192171.545232576
10,0,2947.28307478869,19902.9840746415,192171.545232576
20,1,6918.59180580206,35851.7614921704,346153.752171619
20,0.99,6918.59180580206,35851.7614921704,346153.752171619
20,0.98,7885.96919878092,33282.7055244331,176192.738761706
20,0.97,13983.0744874106,44658.1007311367,237747.144078786
20,0.96,12736.5060877282,35998.6026639126,283612.397566173
20,0.95,11797.7200597758,37847.8838010362,268746.282872473
20,0.94,11073.979325396,39802.4922524081,312322.535591364
20,0.93,12826.7625074415,41766.0232867941,332889.18747608
20,0.92,11878.9739621368,38528.4639156773,423532.716341157
20,0.91,11276.9331731748,42748.1591090598,437893.844264133
20,0.86,12227.7942658455,93291.8895342028,977421.200281326
20,0.809999999999999,24304.9806167535,75747.4059839114,508620.950536198
20,0.76,31605.9984402679,153582.609630471,499203.895715735
20,0.71,23959.7048145618,170944.89423747,791044.269818782
20,0.66,24341.9411230538,227304.26025313,930172.887363033
20,0.61,22647.2528368308,275992.102977122,980630.256019779
